,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
215,NOR,2016,28.0,CT,3,10,17.66871165644172,29.848978383180338,799,0.04630788485607009
216,NOR,2016,30.0,CT,12,48,11.412922162422243,18.79241343309553,484,0.0371900826446281
217,NOR,2016,54.0,CT,3,11,11.586601501966861,21.95617799864468,9801,0.1514131211100908
218,NOR,2017,28.0,CT,12,48,18.18181818181818,26.304801670146137,699,0.04864091559370529
219,NOR,2017,30.0,CT,11,44,12.211668928086839,20.17560246590697,495,0.04242424242424243
220,NOR,2017,54.0,CT,3,11,12.432847275518034,23.00047326076668,8534,0.17904851183501289
221,NOR,2017,54.0,FT,3,11,13.851086569291057,22.554820744865996,425,0.13647058823529412
222,NOR,2018,28.0,CT,11,44,18.198230727568152,25.86605080831409,585,0.0547008547008547
223,NOR,2018,30.0,CT,10,40,11.697173183147406,19.111661652804813,447,0.040268456375838924
224,NOR,2018,54.0,CT,3,11,11.643856139340313,21.199563794983643,9454,0.18531838375290882
225,NZL,2014,21.0,FT,8,33,12.332794810767172,18.349514563106798,50,0.36
226,NZL,2014,42.0,FT,8,33,13.027744270205067,22.50669842214945,51,0.7058823529411765
227,NZL,2015,21.0,FT,8,33,14.256081463322648,21.843397861889628,73,0.6027397260273972
228,NZL,2015,42.0,FT,8,33,14.541341993345977,22.641509433962263,112,0.8035714285714286
229,NZL,2016,21.0,FT,3,10,12.024813106410052,24.811289793239254,55,0.6
230,NZL,2016,42.0,FT,3,10,14.46273274433523,23.96956246036779,104,0.8173076923076923
231,NZL,2017,21.0,FT,2,6,14.112376330035469,24.537487828627068,65,0.4153846153846154
232,NZL,2017,42.0,FT,2,6,15.914114303757499,25.062158130283443,83,0.7831325301204819
233,POL,2013,26.0,CT,2,5,10.134257254222607,20.517316966242877,1511,0.10522832561217736
234,POL,2013,30.0,FT,3,9,17.586712261846603,27.480916030534353,483,0.33540372670807456
235,POL,2013,50.0,CT,2,5,11.56737998843262,21.36498516320475,1581,0.42378241619228335
236,POL,2014,10.0,CT,1,1,12.450285691321328,24.539877300613497,652,0.2929447852760736
237,POL,2014,10.0,CT,2,6,11.986016646469377,24.91349480968858,836,0.09569377990430622
238,POL,2015,25.0,CT,1,1,10.025062936513184,20.651675080312067,1204,0.10299003322259136
239,POL,2015,30.0,FT,1,1,15.265025291875435,25.16309412861137,386,0.3005181347150259
240,POL,2015,50.0,CT,2,9,11.362922675474183,21.533676277066633,1482,0.4493927125506073
